rock_type,mu_log10_K,p_mu_log10_K
Sand,-5.9,0.167702460334433
Sand,-5.8,0.172439961755153
Sand,-5.7,0.176665918586999
Sand,-5.6,0.180518870614198
Sand,-5.5,0.184027739036357
Sand,-5.4,0.187062088747492
Sand,-5.3,0.189529198999987
Sand,-5.2,0.191489111402883
Sand,-5.1,0.192987340741879
Sand,-5,0.194042079591531
Sand,-4.9,0.194745474764862
Sand,-4.8,0.195215678792825
Sand,-4.7,0.195370379415374
Sand,-4.6,0.19493304166274
Sand,-4.5,0.19362135911399
Sand,-4.4,0.191395517483088
Sand,-4.3,0.188431272383949
Sand,-4.2,0.185102034289708
Sand,-4.1,0.181816884785721
Sand,-4,0.178666524743102
Sand,-3.9,0.175333745898928
Sand,-3.8,0.171443953530414
Sand,-3.7,0.166907897022556
Sand,-3.6,0.161908651848867
Sand,-3.5,0.156548582109821
Sand,-3.4,0.150771949182383
Sand,-3.3,0.144528212659076
Sand,-3.2,0.137962885045478
Sand,-3.1,0.131426785758443
Sand,-3,0.125395161825591
Sand,-2.9,0.120239974959947
Sand,-2.8,0.115793583425107
Sand,-2.7,0.111342598716241
Sand,-2.6,0.10624570792564
Sand,-2.5,0.100430360895613
Sand,-2.4,0.0943786395188736
Sand,-2.3,0.0886078933375715
Sand,-2.2,0.0832995887300644
Sand,-2.1,0.0783286341781573
Sand,-2,0.0734771619133553
Sand,-1.9,0.0686738989396516
Sand,-1.8,0.0640379165120888
Sand,-1.7,0.0597214558956694
Sand,-1.6,0.0557273122088728
Sand,-1.5,0.0518568561370326
Sand,-1.4,0.0479742615827334
Sand,-1.3,0.0442078479155472
Sand,-1.2,0.0408563346088256
Sand,-1.1,0.037991510054649
Sand,-1,0.0353967614601143
Sand,-0.899999999999999,0.0328096393661002
Sand,-0.799999999999999,0.0301360365234722
Sand,-0.699999999999999,0.0274899976259714
Sand,-0.6,0.0250691874581154
Sand,-0.5,0.0229983358208637
Sand,-0.399999999999999,0.0212296829153281
Sand,-0.299999999999999,0.0196063982788585
Sand,-0.199999999999999,0.0180478938249442
Sand,-0.0999999999999996,0.0165529716778799
Sand,0,0.0151132788613941
Silt,-15,0.00634931228273701
Silt,-14.9,0.00653481378847093
Silt,-14.8,0.00670753005623738
Silt,-14.7,0.00687807172800627
Silt,-14.6,0.00706779365802397
Silt,-14.5,0.00730846101847306
Silt,-14.4,0.00762144476200379
Silt,-14.3,0.00800171756899734
Silt,-14.2,0.0084165303893937
Silt,-14.1,0.00883634511238194
Silt,-14,0.00926071182386546
Silt,-13.9,0.00971362392830409
Silt,-13.8,0.0102128317551345
Silt,-13.7,0.0107564890807133
Silt,-13.6,0.0113309698770899
Silt,-13.5,0.0119222384308013
Silt,-13.4,0.0125198451425039
Silt,-13.3,0.013108139516629
Silt,-13.2,0.0136707026715225
Silt,-13.1,0.0142077566322077
Silt,-13,0.0147403331441694
Silt,-12.9,0.0152978678876549
Silt,-12.8,0.0158960334616409
Silt,-12.7,0.0165402081089406
Silt,-12.6,0.0172417100951674
Silt,-12.5,0.0180163246142113
Silt,-12.4,0.0188779050177081
Silt,-12.3,0.0198340316122889
Silt,-12.2,0.0208913230478908
Silt,-12.1,0.02207498358423
Silt,-12,0.0234175963910014
Silt,-11.9,0.0249104869863314
Silt,-11.8,0.0264848668274707
Silt,-11.7,0.0280355742120325
Silt,-11.6,0.0294653638838509
Silt,-11.5,0.0307532208097949
Silt,-11.4,0.0319557010535551
Silt,-11.3,0.0331814930050065
Silt,-11.2,0.0345238497438912
Silt,-11.1,0.0360235790367598
Silt,-11,0.0376849550262666
Silt,-10.9,0.0394915048050195
Silt,-10.8,0.0414418919781053
Silt,-10.7,0.0435536812794488
Silt,-10.6,0.0458415071959712
Silt,-10.5,0.0482983288854259
Silt,-10.4,0.0508880069565564
Silt,-10.3,0.0535393529079929
Silt,-10.2,0.0561839404711034
Silt,-10.1,0.0588079137240735
Silt,-10,0.0614727738144322
Silt,-9.9,0.0642798090413038
Silt,-9.8,0.0673105392272127
Silt,-9.7,0.0706016254927757
Silt,-9.6,0.0741136033387478
Silt,-9.5,0.077769591303293
